Platform,Post Timestamp,Likes,Shares,Comments,Engagement Rate,post_content,description
Twitter,11:07.1,951,51,329,46.93,trumps roll nuclear deal benefits iran,irans president hassan rouhani said president donald trump trumps roll benefits achieved iran nuclear deal world powers comes trump said iran hadnt lived spirit deal suggested world powers end irans nuclear ambitions
Twitter,36:45.9,335,186,283,59.34,media allegations daughters school nawazuddin,nawazuddin siddiqui slammed media asking disgusting questions putting random allegations daughters school went science exhibition comes wife lawyer summoned police connection investigations record cdr scam claiming obtaining wifes cdrs private detectives
Facebook,04:38.9,543,157,327,66.86,sachin tendulkar parts ways kerala blasters coowner,indian cricketer sachin tendulkar parted ways indian super league team kerala blasters selling stake franchise days prior start new season piece heart beat kerala blasters sachin said statement kerala blasters finished runnersup twice isl
Twitter,57:12.8,593,45,202,41.67,alia bhatt stuck patiala unrest ram rahim case,alia bhatt vicky kaushal team upcoming film raazi stuck patiala dera chief gurmeet ram rahims conviction rape case led riots increased security areas city curfew obviously dont shoot said films director meghna gulzar
LinkedIn,52:49.3,353,146,219,52.95,regina plays sonams love ek ladki reports,regina cassandra play sonam kapoors love upcoming film ek ladki ko dekha toh aisa laga suggested reports trailer film shows sonam holding hands running woman regina acted tamil kannada telugu films media industry hosted tv
Facebook,46:30.9,705,70,489,25.39,scientists convert dried tree leaves electronics,chinabased scientists discovered method convert tree leaves porous carbon material used make electronics dried phoenix tree leaves grounded heated c produced powder carbon microspheres heating chemical treatment powder developed chargeholding capacity times graphene supercapacitors researchers said
Facebook,56:10.8,201,46,4,6.49,meerutbased boy feet inches tall making worlds tallest eightyearold karan singh set guinness world record tallest heaviest baby cm tall weighed kg newborn karan said doesnt feel embarrassed height hopes basketball player doctor n,tall eightwell meerutbased karan singh whopping feet inches yes heard rightthis yearold different rest born guinness book world records birth weighed kg cm height time birth heaviest tallest babykaran worlds tallest yearold ft isnt karan reaching heights mother shweatlana indias tallest woman feet inches heightshweatlana basketball player represented india various national international competitions read fiveyearold meerut boy worlds tallest ft according report mirror karan years old used wear clothes yearold kids used fit karans father feet inches making family quite unusual karan wants height growing doesnt feel embarrassed unusual height plans basketball player doctor future
LinkedIn,04:08.6,461,87,201,88.12,indian national arrested pakistan,indian national arrested f area islamabad pakistan friday allegedly having required travel documents pakistan government registered case article foreign act person arrested sent day judicial remand pretrial detention
LinkedIn,21:26.5,275,52,119,11.87,bought gold earned medals akshay kumar,answering twitter user asked akshay kumar time bought gold life akshay replied bought gold earned medals akshay hosted qa session askakshay twitter friday answering questions promotions upcoming film gold release august
Twitter,49:12.6,256,179,259,25.54,bit sad moved dhawan test exclusion,talking exclusion india test squad shikhar dhawan said bit sad initially moved im good positive happy mood im enjoying game got bit time added dhawan scored runs finish topscorer recently concluded ti series australia
Facebook,52:02.9,861,150,47,31.44,went lot pain flipkart coo nitin seth,referring multiple firings flipkart cofounder sachin bansal stepping ceo role flipkarts coo nitin seth interview said went lot pain added large taken corrective actions seth said hindsight better
LinkedIn,21:25.1,515,150,61,32.51,railways observe oct vegetarian day flak,receiving criticism indian railways cancelled proposal observe mahatma gandhis birth anniversary october vegetarian day issued directions option nonvegetarian food available passengers like usual days proposal vegetarian day aimed mark respect indias famous ambassador vegetarianismnn
Twitter,19:48.9,908,47,36,62.96,suhana khan superstar makeup artist vogue india,makeup artist vogue india namrata soni talking styling suhana khan months magazine cover said daughter superstar shah rukh khan superstar best times shooting young knows wants look added
LinkedIn,54:46.1,754,150,443,38.91,las vegas shooting survivor killed california mass shooting,telemachus orfanos yearold man survived years mass shooting las vegas killed killed wednesdays mass shooting california orfanos graduate thousand oaks high school later joined navy people killed mass shooting bar wednesday
LinkedIn,50:54.3,866,30,205,24.98,singapore airlines named best airline world,singapore airlines named best airline world travellers choice awards tripadvisor followed air new zealand emirates second place respectively japan airlines eva air completed southwest airlines qatar airways korean air featured
Instagram,48:31.8,357,80,174,13.88,mumbai family grows foottall christmas tree,mumbai family grown foottall christmas tree claimed indias tallest backyard worli large number visitors far places came tree sunday feel proud trees owner said family said growing tree decades
Facebook,34:47.0,496,194,215,27.77,walmart tests selfdriving floorscrubbing robots,usbased retail giant walmart testing selfdriving robot scrubs floor companys spokesperson confirmed autonomous robot features cameras sensors lidar help manoeuvre aisles dodge obstacles october walmart announced deploying shelfscanning robots locations united states
Twitter,27:01.7,448,161,326,22.93,infosys shares drop threeyear low sikka exit,shares giant infosys tanked intraday monday threeyear low shares dropped despite crore share buyback offer company announced earlier stock dropped nearly friday continuous pressure following abrupt exit md ceo vishal sikka faced downgrades multiple brokerage firms
Facebook,50:48.4,407,14,322,47.94,scientists corrosion spots gujarat nuclear leak site,year nuclear fuel irradiated water leaked coolant channel gujaratbased kakrapar atomic power station preliminary investigations corrosion spots cracks channels surface affected reactors remain shut cause traced worker exposed radiation leaked outside plant confirmed department atomic energy
LinkedIn,54:07.9,566,84,327,42.31,competition bjp rupee wholl fall lower cong,taking dig pm narendra modi declining value indian rupee congress spokesperson manish tewari said competition bjp rupee fall lower pm modi said theres competition congress rupee fall lower today rupee trading added
Instagram,23:20.4,0,165,280,22.97,railways suffered l loss mumbai bridge collapse govt,railways suffered loss lakh mumbai road overbridge collapsed earlier month minister state railways rajen gohain informed lok sabha today added commissioner railway safety western circle nominated conduct inquiry july road overbridge collapsed rail tracks andheri injuring
LinkedIn,49:57.6,941,174,129,205.28,new airports function coming years union minister,new airports start functioning years improve connectivity india union minister suresh prabhu said thursday efficient logistics critical countries like india harness trade facilitate greater faster integration domestic world economy added
Instagram,25:54.4,122,62,203,14.78,did ab villiers refer bengaluru crowd bok boks,rcb batsman ab villiers referred bengaluru crowd bok boks troll south african golfer jared harvey golfer sent voice note meant girlfriend mistakenly group chat whatsapp used word bok boks girlfriend harvey trolled social media users voice note
LinkedIn,49:45.7,669,200,492,164.77,army litters nagaland school clean swachh bharat,assam rifles unit indian army allegedly littered premises school nagaland order cleaned officers troops swachhata hi seva campaign school authorities objected demanded unit clean mess immediately assam rifles chief lt gen shokin chauhan ordered inquiry incident
Twitter,23:35.3,215,158,488,51.99,average annual pay executives million,average annual salary ceos companies listed sp index million according bloomberg double canadian counterparts times greater executives india ceos companies earned times average worker
Instagram,53:50.6,361,141,340,39.13,returns antique statues worth stolen india,returned statues worth stolen india displayed american museums country statue granite sculpture depicting iconic representation lord shiva phyllite sculpture depicting bodhisattva wisdom manjushri statues returned indias consul general new york
Facebook,35:32.5,84,146,47,5.97,nonsubsidised lpg cylinder price cut,price nonsubsidised lpg reduced cylinder subsidised cylinder delhi new rates effective april oil marketing companies announced kg nonsubsidised cooking gas cylinder cost delhi subsidised cylinder cost
Facebook,14:19.9,487,153,17,23.3,akshay kumar apologised posting picture waving indian flag upside cheering indian cricket team womens world cup final extending sincerest apology violating code conduct tricolour didnt mean offend picture removed tweeted akshay india lost england runs,akshay kumar apologised posting picture cheering indian womens cricket team sundays world cup final seen waving national flag actor faced heat social media noticed holding flag wrongextending sincerest apology violating code conduct tricolor didnt mean offend anyonethe picture removed national award winner tweeted mondayextending sincerest apology violating code conduct tricolordidnt mean offend anyonethe picture removed akshay kumar july picture question longer seen timeline screenshots doing rounds online fans came supportrespect hrithik roshan july proud fan sir radhe radhe july correct pic pictwittercometcrymjlb chetan tepk aug july indian womens cricket team beaten world cup final england held lordsfollow htshowbiz
Twitter,03:41.5,700,179,266,108.33,sushant responds fan asking physics teacher,actor sushant singh rajput replied fan twitter physics related question asked actor physics teacher responding sushants question user wrote great physics teacher user tweeted engineering ka naam duba diye sharam karo
Instagram,46:25.4,534,177,245,98.05,venture reproductive rights twinkle,actressturnedauthor twinkle khanna said venture focus reproductive rights women said discussion organised unicef melinda gates foundation discuss taboo menstrual hygiene wednesday twinkle earlier produced film pad man deals subject menstrual hygiene
Twitter,14:09.0,244,6,408,30.68,defence ministry seeks voluntary fund staff martyrs,defence ministry sought voluntary contribution minimum government employees welfare rehabilitation martyrs families department personnel training dopt forwarded appeal government ministries official order said requested collected available armed forces flag day december
Facebook,26:19.5,321,99,464,74.41,kolkata woman declared dead twice day,woman declared dead governmentrun hospital west bengals kolkata breathing lying outside electrical furnace crematorium woman rushed different hospital declared dead arrival family blamed governmentrun hospital death accusing negligence
Facebook,20:13.3,580,18,121,67.51,indian students test photosynthesis moon,kolkatabased team zi working teamindus bangalorebased space startup sending spacecraft moon observe photosynthesis cyanobacteria moon team zis experiment housed gram solar host bacteria required nutrients device monitored photosynthetic activity presence sunlight moons surface
LinkedIn,37:43.1,777,67,163,86.29,noida act defacement public property,authorities decided serve notices offenders deface public property pasting posters walls boards noida greater noida officials noted people using sign boards walls personal benefits putting advertisements people responsibility cities clean authorities said
Twitter,18:51.4,697,49,378,24.71,rahul posts new tweet price rise maths goofup,goofup calculations tweet questioning pm narendra modi issue rising prices congress vicepresident deleted posted corrected version gandhi posted wrong increase percentage list essential commodities shared tweet instance list showed cylinder price rise increase
LinkedIn,25:31.2,495,187,237,122.05,wikileaks refused publish russian govt documents reports,leaked communications revealed wikileaks founder julian assange gave excuse excuse refused publish cache documents related corruption russian government organisation reportedly said rejects submissions verify wikileaks offered gb data russian interior ministry anonymous source reports added
LinkedIn,53:42.4,819,124,98,24.82,girl shows interview microsoft month early goes viral,exchange yearold scottish student laura maclean microsoft showing job interview skype month early gone viral laura reached microsoft receiving january thinking february day scheduled interview wait laugh february microsoft commented
Twitter,30:16.3,4,72,159,18.1,forced india bring bumrah bhuvneshwar windies coach,stuart law windies team coach said sides batting caused indian team bring pacers jasprit bumrah bhuvneshwar kumar odis series hopefully getting indians ask questions giving plenty questions ask law added
Facebook,00:01.8,952,179,404,50.9,trump putins faces morphed times latest cover,time magazine latest cover morphed images president donald trump russian counterpart vladimir putin following bilateral meeting covers designer nancy burson said image meant make readers stop think similarities leaders
Facebook,37:45.3,368,70,316,18.44,shops sealed delhis khan market violations,establishments delhis khan market partially sealed north delhi municipal corporations sealing drive alleged illegal construction misuse land acting supreme courtappointed monitoring committees order ndmc partially sealed rooftops shops including mamagoto fabindia drive held unfair manner traders association said
Facebook,59:02.3,121,140,116,28.01,didnt try recruit melania trump russian spy putin,asked tried recruit lady melania trump russian agent meeting g summit russian president vladimir putin said didnt try added loved recruiting russian agents recruiter soviet unions spy agency kgb
Twitter,34:55.4,597,23,353,20.3,salman launch brotherinlaw film katrina report,reports salman khan plans launch brotherinlaw aayush sharma bollywood opposite katrina kaif upcoming film raat baaki film said produced karan johar pakistani actor fawad khan originally starring male lead project got shelved owing row pakistani artistes working india
Instagram,37:01.7,137,16,184,17.33,trump denies kept queen waiting claims late,president donald trump denied reports kept uks queen elizabeth ii waiting meet month added queen late calling reports fake news trump claimed arrived minutes early meeting queen trump official visit uk month
Facebook,48:54.9,397,21,19,12.54,vested interests win tweets ias khemka st transfer,transferred st time career haryana ias officer ashok khemka sunday tweeted work planned news transfer crash landing vested interests win khemka earlier posted social justice empowerment department serve principal secretary youth affairs sports department
Facebook,41:57.0,466,114,36,14.53,pharmaceutical major lupin lost crore market valuation just days lupin shares plunged intraday trade wednesday health regulators issued observations plant observations form investigators feel practices products adulterated render injuries health,new delhi registering losses second day lupin today fell cent health regulators observations goa plant stock company declined cent end rs bse day slipped cent rs nse fell cent close rs volume lakh shares company traded bse lakh changed hands nse day stock fallen nearly cent previous session wiping rs crore market valuation days stock worst hit bluechips indices sensex nifty recently companys manufacturing facility underwent inspection usfda subsequently usfda issued form citing observations lupin said regulatory filing friday
Instagram,33:06.5,282,169,260,61.03,pm modi hope resolution kashmir dispute mufti,jammu kashmir cm mehbooba mufti saturday called pm narendra modi hope resolve yearold kashmir dispute quagmire prime minister narendra modi decides nation support said previous pm wanted visit pakistan mufti added
Instagram,23:48.8,660,5,468,32.19,leaked texts samsung manipulated south korean media,texts presented ongoing bribery trial samsung heir jaeyong lee reveal company manipulated south korean media exchange favours texts newspapers executive promised repay samsung good articles asked board directorship samsung affiliate conglomerate accounts onefourth south koreas market capitalisation
Twitter,47:13.9,389,110,69,21.58,dont know hinting smith kohlis tweet,australian captain steve smith said does know virat kohli referring clarifying friends anymore couple individuals aussie team virat answer dont know couple players virat hinting tweet said smith
LinkedIn,20:00.7,841,142,98,27.28,uk firm recalls childrens sandals amid cancer fears,uk clothing retailer recalled pair childrens sandals australian competition consumer commission revealed linings shoes contained benzidine cause cancer prolonged contact skin company earlier june recalled childrens sandals discovering shoes presented possible choking hazard
Twitter,43:46.9,391,1,53,12.13,pm narendra modi wishes states foundation day,pm narendra modi wednesday wished people haryana chhattisgarh madhya pradesh kerala karnataka foundation day pm modi series tweets lauded madhya pradesh contribution indias development wished chhattisgarh touches new heights development congratulated haryana strongly following path jai jawan jai kisan
Facebook,58:22.6,759,139,394,30.15,wants meet youre outsider bwood sood,actor sonu sood talking challenges faced trying work bollywood said youre outsider wants meet work sonu added think thats tough thing newcomer faces said believes face set struggles life
Twitter,01:19.8,827,147,320,45.2,unfortunate arent able respect armed forces minister,union minister dharmendra pradhan saturday said unfortunate indians understand respect armed forces added india country world defence forces faced flak initially politicians faced criticism army navy coast guard bsf face criticism said
Facebook,06:07.9,136,152,107,30.41,shilpa husband anticipatory bail cheating case,actress shilpa shetty husband raj kundra granted anticipatory bail cheating case filed textile firm owner textile firm owner accused couple making lakh selling firms bedsheets paying bedsheets sold company shetty kundra directors
Facebook,06:37.5,150,196,86,22.93,indian team attends premier sachin billion dreams,members indian cricket team attended premier sachin tendulkars biopic sachin billion dreams mumbai wednesday goosebumps watchin movieu inspire n ur movie nw inspire billions tweeted kl rahul bhuvneshwar kumar wrote revived inexplicable memories attended premier sachin billion dreams great story great man
Twitter,13:42.4,596,190,178,19.78,mairaj rashmmi win mixed skeet gold asian shotgun cship,indian pair mairaj khan rashmmi rathore won gold mixed skeet team event concluding day th asian shotgun championship kazakhstan sunday india finished championship total medals ankur mittal winning individual gold team gold mens double trap event
Facebook,59:19.1,697,161,230,24.87,amul takes dig trump kim jonguns nuclear button claims,amul released poster taking dig recent statements president donald trump north korean leader kim jongun respective nuclear buttons butter bigger poster read comes trump said nuclear button bigger jonguns
Facebook,27:06.5,51,7,105,4.83,study finds persons brain anatomy unique,scientists university zurich similar case fingerprints persons brain anatomy unique study claims brain anatomy individual shaped combination genetic factors individual life experiences brain anatomical features assessed using magnetic resonance imaging mri
Twitter,03:33.1,54,112,433,17.17,ias topper tina shares pic husband wearing lungi,indian administrative service ias topper tina dabi shared picture husband athar aamirulshafi khan s second rank holder wearing lungi pictures event mussoories lal bahadur shastri national academy administration mark end ias training programme couple got married april year
Twitter,58:51.4,432,122,470,96.33,dont burp irritating state bank india tells staff,circular issued employees state bank india included directive burping especially meetings called highly irritating guidelines etiquette circular prescribed dress code employees asking wear formal semiformal clothes stated appearance demeanour employees impacted banks image
Instagram,50:12.9,697,57,303,56.37,bangladesh arrests journo reporting voting irregularities,bangladeshi journalist hedait hossain molla arrested publishing false information voting irregularities recently held general elections reported ballots number registered voters cast constituency molla accused providing false information effort make election look questionable authorities said
Instagram,09:32.5,157,56,258,10.62,delta jets clip planes truck hours airport,delta air lines planes involved wingtip collisions ground new york airport hours wing delta flight touched tail american airlines plane delta connection flights wing touched right wing parked delta connection plane left wingtip delta jet touched truck
Instagram,31:44.6,534,118,163,24.15,review films days release tamil actor reviewers,actor vishal known work tamil films requested reviewers reviews days post release film dont reviews hurting particular filmmaker added vishal rajinikanth said reviewers right way using right words hurting
Twitter,19:25.7,261,197,438,42.67,richest mizoram candidate owns states st sports car soccer club,millionaire businessman robert romawia royte richest candidate mizorams assembly elections owns states luxury sports car football club aizawl fc bagged ileague title yearold mizo national mnf leader declared assets worth crore lost lok sabha polls fought independent candidate
Instagram,57:23.6,74,23,267,10.43,zoomcar temporarily discontinues cyclesharing service,bengalurubased carrental startup zoomcar said temporarily discontinue cyclesharing service pedl december problem wasnt bookings getting consumers problem hardware availability vehicles quality zoomcar ceo greg moran reportedly said pedl launched resumed year moran revealed
LinkedIn,02:31.1,438,173,436,22.8,customer finds human bone socks bought primark uk,police investigating case customer believed human bone pair socks bought irish fashion retailer primarks store december uk bone does appear result recent trauma police said primark apologised customer distress caused
Twitter,52:17.9,809,194,463,50.21,essar oils cr sale rosneft cleared lenders,essar group received approval lenders complete sale essar oil russias stateowned oil firm rosneft lenders include lic company owes crore lic earlier refused approval crore deal signed october marks biggest foreign acquisition india
Facebook,30:17.6,537,69,95,109.87,brihanmumbai electric supply transport planning shift yearold museum wadala byculla zoo mumbai authorities said museum far away people complained dont visit travel pain said official authorities expect shift bring visitors revenues,brihanmumbai electric supply transport planning shift iconic museum anik bus depot wadala byculla zoo authorities said bringing museum heart city attract visitors rake revenue rani baug visited thousands people week weekends help promote best buses said best officialthe museum anik years old houses old bus tickets models electric tram ticket dispensing machines historical photographs showing best buses years authorities want shift museum building zoos latest attraction humboldt penguins kept best authorities said asked brihanmumbai municipal corporation space second floor building anik bus depot museum far away people complained dont visit travel pain asked space rani baug said anil kokil best committee chairman
Twitter,24:36.0,830,23,412,28.13,apollo mission astronauts visit ship,second manned mission moon apollo landed november mission astronauts able visit spacecraft astronauts alan bean pete conrad precise landing visited surveyor spacecraft landed moon took parts return earth
LinkedIn,27:38.8,153,126,200,29.4,aircraft carrier ins vishal nuclearpowered,indias indigenous aircraft carrier ins vishal nuclear powered bhabha atomic research centre years develop nuclear reactor capable propelling tonne vessel reports said ins vishal able house aircraft electromagnetic aircraft launch launch aircraft carrier
Twitter,25:52.1,988,120,79,24.7,india ranked th st icc womens ti team rankings,indian womens cricket team ranked fifth newly launched icc global womens ti team rankings australia topranked team new rankings new zealand england west indies respectively occupy spots im sure rankings encourage countries play game regularly indias captain harmanpreet kaur said
Instagram,04:43.9,176,128,153,13.1,rbi removes banks corrective action list reports,reserve bank india rbi panel reportedly decided remove bank india bank maharashtra prompt corrective action pca framework follows improvements asset quality capital ratios banks reports added staterun banks high levels bad debt inadequate capital brought pca framework
Instagram,15:55.3,967,131,186,32.4,stationery chain staples bought crore,private equity firm sycamore partners wednesday said acquire office supplies chain staples share deal worth billion crore shira goodman continue staples ceo deal staples largest share office supply stores stores country
Twitter,52:02.1,686,92,1,23.56,sikkas wife vandana quits infosys foundation usas chief,infosys ceo vishal sikkas wife vandana sikka quit chairperson infosys foundation usa philanthropic arm services company served role years vandana serves board codeorg said feel immense sense pride joy accomplished
Facebook,32:56.8,727,199,143,77.3,india denied visas pilgrims nizamuddin dargah pak,pakistan saturday claimed india denied visas pakistani pilgrims wanted visit countrys nizamuddin dargah january year participate death anniversary ceremony hazrat khwaja nizamuddin auliya visit place provisions pakistanindia protocol visits religious shrines annual featurennnn
Instagram,34:46.2,811,48,3,23.69,flight suffers bird hit pilot forced abort landing,mumbaijodhpur jet airways flight suffered bird hit prior landing friday afternoon captain decided abort landing carry goaround jet airways said flight landed safely passengers crew members onboard deplaned taken terminal
Twitter,54:59.9,996,88,366,120.83,girl sold parents age mother,yearold girl uttar pradesh lodged fir father stepmother aunt allegedly selling man lakh years old girl claimed raped repeatedly time captivity gave birth times alleged parents sold yearold yearold sisters
Twitter,11:57.0,731,23,77,114.31,qutub minar lit red world haemophilia day,qutub minar delhi lit red lights monday night mark world haemophilia day annually observed april haemophilia genetic disease impairs bodys ability make blood clots causing longerthannormal bleeding people suffer haemophilia registered haemophilia federation india
LinkedIn,51:56.8,610,46,226,25.38,visitors came gave sweets took kids shelter house inmate,rescued uttar pradesh deorias shelter house inmates women including minors physically sexually abused said visitors distributed sweets taking children away people took yearold boy december year yearold twin sisters march year girl said told going spain added
LinkedIn,42:28.6,410,9,97,23.83,pak kabaddi players welcome india sports minister,indias union minister youth affairs sports vijay goel said pakistani players allowed compete pro kabaddi league player auctions held monday unless pakistan gets rid terrorism impossible play pakistan goel said participation pakistani players league
LinkedIn,17:03.9,729,159,168,22.51,lynching new overhyped union home secretary,union home secretary rajiv mehrishi said lynching hate crimes new india adding think overhyped overreported mehrishi added crime crime handled strictness fairness recently deputy sp mohammed ayub pandith lynched srinagar mob
Instagram,08:57.7,271,154,129,12.39,pnb refuses share info nirav modis loans rti query,responding rti query pnb refused provide information records pertaining process issuing loans nirav modi citing ongoing probe alleged billion fraud rti activist sought details records including minutes meeting agenda notes total loans sought nirav modi sanctioned bank
LinkedIn,23:57.1,709,138,14,31.15,sc declines interfere hc order narada sting case,supreme court tuesday refused interfere calcutta high court order directed cbi conduct inquiry narada sting operation court gave cbi month complete probe notably video footage narada sting operation showed senior tmc leaders accepting money promising granting favours
Facebook,45:14.8,314,49,206,11.97,grandmaster anand turns chef cooks fish dish norway,indian grandmaster viswanathan anand chinas ding liren prepared fish dish break norway chess open wife aruna watched im moving pieces im cooking anand later tweeted partner cut vegetables fish precision does rook endings anand said ding
LinkedIn,39:38.8,287,149,118,11.76,india beat pak clinch record th asiad medal mens hockey,indian mens hockey team defeated eighttime asian games champions pakistan saturday clinch bronze medal record th medal mens hockey asian games pakistan mens hockey team held joint record asian games medals finished medal asian games second time
Instagram,10:05.6,373,194,499,38.95,st state endorse triple talaq draft,uttar pradesh state endorse centres draft instant triple talaq recognises practice nonbailable offence centre asked states send respective views proposal introduced winter session parliament week draft proposes threeyear imprisonment defaulters
LinkedIn,57:05.3,966,48,28,86.54,wikileaks reveals cia tool track whistleblowers,user manual describing cia project known scribbles published wikileaks exposing potential spying agency track documents leaked whistleblowers foreign spies project purportedly designed allow embedding web beacon tags documents likely stolen press release wikileaks stated
Instagram,29:51.8,587,166,47,19.82,player earlier banned trying walks set,world number tennis player nick kyrgios walked court losing set shanghai masters round match kyrgios heard saying quit lost tiebreak getting point penalty audible obscenity kyrgios fined banned trying match tournament year
LinkedIn,02:58.5,405,28,26,11.17,brazilian mps dismiss bribery charges prez temer,brazilian parliaments congressional committee voted dismiss graft charges countrys president michel temer alleged role multimilliondollar corruption scheme denouncing probe temer attempt criminalise political party activities parliament members warned presidents ouster plunge country political crisis
Twitter,19:26.1,619,6,106,16.72,video beijing crowd pushes train free man stuck,minutelong video shows commuters beijings dongzhimen station coming help free man got stuck gap train stations platform thursday crowd heard saying eventually pushing train hard release man jumped safety barrier
LinkedIn,03:23.9,516,181,7,24.47,mobile malware ad clicker trojans report,majority mobile malware detected ad clicker trojans manipulate mobile ads generate revenue author app according report cybersecurity firm mcafee report revealed million mobile malware infections detected quarter report added year mobile malware
Facebook,38:17.1,436,184,362,21.77,pm lays foundation zojila tunnel hr travel mins,pm narendra modi saturday laid foundation stone indias longest road tunnel srinagarleh national highway jammu kashmir kmlong zojila tunnel shorten distance srinagar leh hours minutes asias longest bidirectional tunnel cost crore build
Facebook,40:02.1,617,189,317,51.78,talwars acquitted aarushi murder case,allahabad high court dismissed charges rajesh nupur talwar aarushihemraj murder case stating cbi failed provide direct evidence linked talwars murders observed eyewitnesses prove talwars involvement furthermore court pointed cbi failed establish valid motive murders
LinkedIn,39:33.2,627,122,124,27.76,venkateswara temple tirupati andhra pradesh received crore demonetised rupee notes devotees donations note exchange deadline expired shrine administrator said temple administration written government reserve bank india issue awaiting reply official added,famous hill shrine lord venkateswara tirumala caught piquant situation received rs crore demonetised rupee notes devotees hundi months past deadline exchange temple administration written government reserve bank india fate accumulated notes awaiting response official said today thousands devotees thronging cashrich temple various parts country continued offer junked currency hundi valid notes deadline exchange demonetised notes expired december rs crore demonetised currency offered hundi executive officer tirumala tirupati devasthanams administers ancient shrine d sambasiva rao said written rbi government india demonetised notes offered devotees fulfillment vows awaiting reply said common practice devotees lord venkateswara depositing cash tiny boxes mud pots kept pooja rooms houses period deposit temple hundi undertake pilgrimage tirumala
Instagram,26:03.9,138,155,302,40.45,delhis senior citizens times likely face crime,delhi polices crime records revealed senior citizens times likely victims crime delhi compared places country robbery common crime faced delhis senior citizens followed murder theft molestation complaints registered senior citizen cell year
Instagram,31:31.9,870,5,289,24.33,bihar cm nitish kumar ties rakhi tree rakshabandhan,bihar chief minister nitish kumar deputy chief minister sushil kumar modi tied rakhis trees patna occasion rakshabandhan today create awareness environment conservation people cm following practice tying rakhi trees past years planted sapling rajdhani vatikan
Instagram,57:43.4,234,59,196,13.68,smart helmet rearview camera,japanbased startup borderless created smart helmet inbuilt rearview camera users visibility riding motorbike helmet connects app allows users send information like navigation time distance destination smartphone information displayed headup screen helmet
Instagram,44:24.1,957,24,408,36.75,shiv sena mp returns mumbai train airlines ban,shiv sena mp ravindra gaikwad assaulted air india staffer took train mumbai delhi airlines barred flying airlines included air india jet airways spicejet goair indigo gaikwad thursdays punedelhi flight refused deplane denied business class resorted assaulting airline staffer
Twitter,42:40.9,225,39,408,14.7,kerala pay medical bills nipah virus patients,kerala government cover medical expenses patients infected nipah virus kozhikode malappuram cm pinarayi vijayan said praising state health officials said state quickest contain disease compared countries kerala provide free ration people observation added
Facebook,38:17.9,742,52,261,184.44,landslide recorded comet time,landslide comet documented astronomers time images reveal collapse metrelong cliff observations comet p esas rosetta probe dusty avalanche leaving patch comets icy interior exposed astronomers linked landslide cometary outburst releasing plumes dust
Instagram,08:02.7,415,83,257,28.16,bolivia declares total independence world bank imf,bolivias president evo morales declared total independence international monetary fund imf world bank announcing year bolivia longer respond demands protests bolivia targeted policies agencies focused privatisation austerity measures combat corruption country n
Facebook,39:16.5,473,56,455,125.67,fugitive mafia boss nabbed barbecue rural italy,italian police arrested fugitive mafia boss barbecue wife villa fiftysixyearold concetto bonaccorsi absconded prison serving life sentence reportedly cappellobonaccorsi clan head apprehended wedding police allowed say vows
Twitter,42:45.3,97,39,410,27.37,crypto grow regulation tyler winklevoss,technologies like cryptocurrency flourish grow thoughtful regulation connects finance cryptocurrency exchange geminis ceo tyler winklevoss said tyler twin brother cameron believed worlds bitcoin billionaires long jurisdictions strike right balance going huge boon win cryptocurrencies added
LinkedIn,50:51.8,264,69,85,70.02,excited star hindi remake arjun reddy shahid,shahid kapoor talking starring hindi remake telugu film arjun reddy said im excited come happen shahid added hear official announcement happens discussing arjun reddy director sandeep reddy vanga confirmed casting shahid said thinks im right choice
LinkedIn,36:59.8,643,127,152,19.23,arun jaitley elected rajya sabha th consecutive term,union finance minister arun jaitley elected rajya sabha fourth consecutive term jaitley nominated bjp candidate uttar pradesh served rajya sabha mp gujarat years cm yogi adityanath announced bjp candidates won rajya sabha elections uttar pradesh
Twitter,47:52.2,16,77,275,13.46,website tracks elon musks tesla car sent space,website named whereisroadstercom tracking elon musks tesla roadster sent space according website roadster moving speed kmph currently million km earth million km mars website states car exceeded km warranty times circling sun
Twitter,39:26.5,84,99,309,58.43,trainee constable holiday kidnapped killed militants,body trainee constable jammu kashmir police bullet holes kulgam saturday constable abducted unknown militants friday leave condemn cowardly act stand family critical juncture kashmir zone police tweeted
Facebook,10:01.8,89,68,393,24.12,club fans raise money opposition sides pitch repair,english football mk dons fans raised money help repair hyde uniteds pitch got damaged flares thrown pitch fa cup tie sides supporters mk dons created crowdfunding page try raise repair reportedly cost
Facebook,39:34.3,627,143,147,149.35,acres encroached public land cleared south delhi,delhi government launched antiencroachment drive wednesday cleared illegal structures built acres public land south delhis asola village officials said illegal structures spread plots valued crore demolished farmhouses boundary walls smallscale mining units built illegally land
Facebook,35:12.4,420,86,300,33.32,startups tier ii tier iii cities pm modi,highlighting government tried localise startup culture pm narendra modi said startups tier ii tier iii cities today adding startups growth engines urged people innovating said governments crore fund funds ensure funding lakh crore startups
Instagram,04:16.0,720,101,324,73.73,people arrested delhi running fake crypto scheme,delhi polices special cyber cell arrested people duping investors using cryptocurrency investment plans accused deepak jangra deepak malhotra deceived thousands people online portal wwwbitmineplusorg allegedly offered returns tune month basis bitcoin mining trading portal
Facebook,35:00.1,797,8,191,88.85,test runs mean absolutely zero ab villiers,south africas ab villiers scored test runs far said reaching run landmark means absolutely zero does care speaking unorthodox approach batting ab villiers said feel comes naturally
